id,company_id,email,company_user_id,personal_email,notification_date,is_invited,prefilled_assessment_data
u1,c1b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,employee1@globex.com,G123,,2025-07-27,true,""
u2,c1b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,employee2@globex.com,G456,user.personal@email.com,2025-07-30,true,"{""finalDate"":""2025-08-29"",""severanceAgreementDeadline"":""2025-08-30"",""medicalCoverageEndDate"":""2025-08-31"",""dentalCoverageEndDate"":""2025-08-31"",""visionCoverageEndDate"":""2025-08-31"",""eapCoverageEndDate"":""2025-08-31""}"
u3,c1b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,s.smith@globex.com,G789,,2025-08-13,false,""
u4,c1b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,p.jones@globex.com,G101,,2025-08-16,false,""
u5,c1b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,a.williams@globex.com,G112,,2025-08-21,false,""
u6,c1b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,b.davis@globex.com,G213,,2025-07-22,false,""
u7,c1b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,j.doe@globex.com,G314,,2025-07-31,true,"{""relocationPaid"":""Unsure"",""unionMember"":""No"",""hadMedicalInsurance"":""Unsure"",""hadDentalInsurance"":""Yes"",""hadVisionInsurance"":""No"",""hadEAP"":""Yes""}"
u8,c1b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,m.chen@globex.com,G516,,2025-07-29,true,"{""relocationPaid"":""No"",""unionMember"":""Unsure"",""hadMedicalInsurance"":""Yes"",""hadDentalInsurance"":""Yes"",""hadVisionInsurance"":""Unsure"",""hadEAP"":""Unsure""}"
u9,c2b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,peter.gibbons@initech.com,I-001,,2025-07-18,true,"{""relocationPaid"":""No"",""unionMember"":""Unsure""}"
u10,c2b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,samir.nagheenanajar@initech.com,I-002,,2025-07-18,true,"{""relocationPaid"":""Unsure"",""unionMember"":""No"",""hadVisionInsurance"":""Unsure""}"
u11,c2b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,michael.bolton@initech.com,I-003,,2025-07-18,true,"{""relocationPaid"":""No"",""hadMedicalInsurance"":""Unsure"",""hadDentalInsurance"":""Unsure""}"
u12,c2b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,employee@initech.com,I-99,,2025-08-01,false,""
u13,c3b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,dev1@globex.software,GS-01,,2025-07-31,true,""
u14,c3b6a3b6-9b9b-4b1e-8b0a-0b5b1b1b1b1b,dev2@globex.software,GS-02,,2025-08-31,false,""
